analysis,row_id,role,include,reason,record,group,subset,a_field,a_pattern,a_stage,b_row,b_field,b_pattern,expr,ref_override,fit
r1Gap,L456,estimate,yes,Nimble card 324-item contrastive holdout; Nimble vs Jev on the same items; revision original-2676; developer self-report (D4 high),nimble324,accuracy,primary,value,,,,comparator_value,,b-a,synthetic contrastive labels (study note; ledger row codes human_adjudicated),
r1Gap,L460,estimate,yes,Nimble card 13 public subsets pooled macro accuracy; same records for both models; raw Nimble probabilities,nimble13,accuracy,primary,value,,,,comparator_value,,b-a,,
r1Gap,L464,context,yes,civil_comments is one of the 13 subsets already pooled in L460; shown for the per-subset spread only,nimbleCivil,accuracy,,value,^([\d.]+) \(Nimble\),,,value,vs ([\d.]+) \(Jev\),a-b,,
r1Gap,L230,estimate,yes,Cheng 2250-question released benchmark; Jev answers captured by a third party on the identical subset; own model trained on the benchmark families (D4 high),cheng2250,accuracy,primary,value,,,,comparator_value,,100*(a-b),,
r1Gap,L225,context,yes,"Cheng 68-question NanoJev-recorded cohort; Jev replies recorded by a third party (contradicted_claims 21); the 18-point gap rests on 12 questions (rob.csv D2), so the 2250-item set on the same kind of items is the study estimate",cheng68,accuracy,,value,,,,comparator_value,,100*(a-b),,
r1Gap,L022,estimate,yes,Ibrahim & Zaki open-ecosystem grid; best open model (SemIf-4B) vs Jev under each system's released code; the only parity-graded head-to-head (D4 low),ibrOpenBest,macroF1,primary,value,,,,comparator_value,,a-b,,
r1Gap,L023,context,yes,Ibrahim & Zaki grid; Bespoke-Nimble-9B measured independently (compare with its own card),ibrOpenNimble,macroF1,,value,,,,comparator_value,,a-b,,
r1Gap,L020,context,yes,Ibrahim & Zaki grid; decider-0.8b,ibrOpenDecider08,macroF1,,value,,,,comparator_value,,a-b,,
r1Gap,L021,context,yes,Ibrahim & Zaki grid; decider-2b,ibrOpenDecider2,macroF1,,value,,,,comparator_value,,a-b,,
r1Gap,L019,context,yes,Ibrahim & Zaki grid; Laya-0.4B,ibrOpenLaya,macroF1,,value,,,,comparator_value,,a-b,,
r1Gap,L017,context,yes,Ibrahim & Zaki grid; Qwen3-0.6B-RLCD,ibrOpenRlcd,macroF1,,value,,,,comparator_value,,a-b,,
r1Gap,L495,estimate,yes,Rev card 975-item frozen public holdout; best open (Rev-Qwen3.8-27B) vs hosted Jev on the same items; developer self-report (D4 high),rev975,accuracy,primary,value,,,,comparator_value,,a-b,,
r1Gap,L499,estimate,yes,Rev card JevBench 231 public items; developer's own run with the board's scoring,revJevBench,accuracy,primary,value,^([\d.]+) \(Rev-27B\),,,value,vs ([\d.]+) \(Jev\),a-b,,
