id,kind,sha,created,license,params,base_model,tier,relation,parent,decision_contract_evidence,note
iapp/OpenThai-SystemOne,model,f3709948b5e3cc9606a57e74ba62b7a639d17dd3,2026-09-20T14:15:03.000Z,apache-2.0,752674883,Qwen/Qwen3.5-0.8B-Base,T1,,,"emOne: an open Thai + English System One decision model, 0.8B, Apache-",named T1 (own recipe/decision head; see card)
pngwn/system-one-qwen3.5-4b-scorer,model,e6464dce15f013c2ef641593a85cc6afcdaea928,2026-09-16T13:58:46.000Z,cc-by-nc-4.0,,Qwen/Qwen3.5-4B-Base,T1,,,: - sequence-classification - calibration - decision-making - lora -,named T1 (own recipe/decision head; see card)
pngwn/system-one-qwen3.5-4b-scorer-v2b,model,3ec7785bf6aa1e8b0ade992c85206d46711d86c2,2026-09-17T08:06:59.000Z,cc-by-nc-4.0,,Qwen/Qwen3.5-4B-Base,T2,other,system-one-qwen3.5-4b-scorer,: - sequence-classification - calibration - decision-making - lora -,name/base_model references system-one-qwen3.5-4b-scorer
pngwn/system-one-qwen3.5-4b-scorer-smoke,model,584a7635898547d8d51945a95929afcaf90fc0ba,2026-09-16T14:20:02.000Z,cc-by-nc-4.0,,Qwen/Qwen3.5-4B-Base,T2,other,system-one-qwen3.5-4b-scorer,: - sequence-classification - calibration - decision-making - lora -,name/base_model references system-one-qwen3.5-4b-scorer
DavidHatley/system-one-mini,model,b004fb15f7dc208c0a46d468a4e07cf188671073,2026-09-16T17:02:50.000Z,apache-2.0,69328144,distilbert/distilbert-base-uncased,T1,,,research - custom-code ---  # System One Mini  System One Mini is an i,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
pngwn/system-one-qwen3.5-4b-scorer-v2-2ep,model,99020e0ec80bc7743dfa9388f5d79c90f87953fe,2026-09-17T02:24:01.000Z,,,,X,,,none found,empty or missing card
Mannedood/local-system-one-student,model,9eab66b998a76871308e5072d3c378230f39ec9e,2026-09-18T19:11:45.000Z,mit,149022731,answerdotai/ModernBERT-base,T1,,,text-classification tags:   - calibration   - distillation   - agent,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
dwidlee/systemone-lite-0.5b,model,7b95a7179f74a56b52555773f10e9a0bfc6a2fb5,2026-09-19T08:28:18.000Z,apache-2.0,494032768,Qwen/Qwen2.5-0.5B-Instruct,T1,,,ix/systemone-lite): a local **System One–compatible** decision model o,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
lafalce/system-one-model,model,b7b34611754fd106800fd893682bede9dedb06cd,2026-09-19T16:41:06.000Z,apache-2.0,,answerdotai/ModernBERT-base,T1,,,se license: apache-2.0 ---  # System One (phase2 student)  Local open-,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
shreyanbr/system-one-zeroshot,model,4b6659d5199395c72f0aaa56f1335e84ba63467d,2026-09-19T20:29:52.000Z,apache-2.0,70830722,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,T1,,,:   - text-classification   - calibration   - routing ---  # System,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
