record,study,cluster,model,task_family,raw_ece,recal_ece,stage,method,fit,binning,n,reference_type,role,subset,ledger_rows,value_keys,rob_overall,reason
ibrJev,ibrahim2026evaluating,ibrahim2026evaluating,Jev (hosted),social-science annotation,0.1570,0.1208,raw,temperature,transferred (pilot tasks to evaluation tasks),equal-width 15 bins,,human_adjudicated,estimate,primary,L006;L900,ibrahim2026evaluating.jevMedianECE;ibrahim2026evaluating.jevMedianECETempScaled,high,Ibrahim & Zaki Jev median evaluation-task ECE; primary 15 equal-width bins; recalibrated value is the scalar temperature fit on pilot tasks (transferred fit)
rafeJevPlatt,rafe2026calibrated,rafe2026calibrated,Jev (hosted),document coding,0.0231,0.0069,raw,Platt,in-domain (held-out split of the same corpus),exact discrete-grid (unbinned),2416,human_adjudicated,estimate,primary,L079;L080,rafe2026calibrated.jevPooledEceRaw;rafe2026calibrated.jevPooledEcePlatt,some_concerns,Rafe & Das pooled raw ECE with exact discrete-grid estimator; Platt on held-out split (in-domain fit); survey authors' own paper
rafeJevIsotonic,rafe2026calibrated,rafe2026calibrated,Jev (hosted),document coding,0.0231,0.0069,raw,isotonic,in-domain (held-out split of the same corpus),exact discrete-grid (unbinned),2416,human_adjudicated,context,,L079;L081,rafe2026calibrated.jevPooledEceRaw;rafe2026calibrated.jevPooledEceIsotonic,some_concerns,Rafe & Das isotonic recalibration of the same raw record (second method; not a second study value)
archerJev,grey_archerhume_jev,grey_archerhume_jev,Jev (hosted),QA,0.0313,,raw,none,,equal-width 10 bins,1200,human_adjudicated,estimate,primary,L487,greyArcherhumeJev.jevMmluEce,some_concerns,Archer Hume 1200-item MMLU sample; 10 equal-width bins on probabilities rounded to 2 decimals
localllamaJev,grey_localllama_typed_decisions,grey_localllama_typed_decisions,Jev (hosted),classification,0.1440,,raw,none,,not specified,2000,llm_teacher,estimate,primary,L515,greyLocalllamaTypedDecisions.jevEce,high,LocalLLaMA typed-decisions test split; ECE against LLM-teacher soft gold; binning not stated
kevJevOod,grey_kev,grey_kev,Jev (hosted),classification,0.0490,,raw,none,,not specified,764,human_adjudicated,estimate,primary,L477,greyKev.kev9bOodEce,high,Kev card transfer-v4 out-of-domain set; Jev ECE measured by the Kev developer; binning not stated
kevJevScienthoon,grey_kev,grey_kev,Jev (hosted),other (third-party external suite),0.1050,,raw,none,,not specified,900,human_adjudicated,estimate,primary,L485,greyKev.scienthoonEceComparison,high,Kev card scienthoon's 900 support tickets; Jev ECE on the external suite; binning not stated
nimbleJevBoolq,grey_bespoke_nimble,grey_bespoke_nimble,Jev (hosted),classification,0.0380,,raw,none,,not specified,300,human_adjudicated,estimate,primary,L463,greyBespokeNimble.boolqEceComparison,some_concerns,Nimble public-benchmark doc; Jev ECE on boolq (300); binning not stated
reflexJev,wu2026reflex,wu2026reflex,Jev (hosted),agent control,0.1290,,raw,none,,not specified,251 autonomous decisions (65 no-escalation episodes),human_adjudicated,context,,L426,wu2026reflex.reflexConfidenceEce,some_concerns,REFLEX ECE is computed on autonomous (non-escalated) decisions only; truncated by the confidence gate; binning not stated
kiteJev,li2026kite,li2026kite,Jev (hosted),classification,0.0270,,raw,none,,not specified,not reported,human_crowd,context,,L453,li2026kite.p3ContractEce,some_concerns,KITE p3 contract ECE is calibration of predicted human response probabilities and the contract was selected on this value (development studies)
