claim_id,claim,vendor_value,vendor_source,study,cluster,measurement,measurement_key,independent,direction,rule,rob_overall,rob_for_claim,evidence_role,ledger_rows
speed,Faster than frontier LLMs,40x-200x faster (launch blog); 193.6x faster (homepage),"vendor_facts.json: launch_speed_claim (ts_launch_blog, ts_homepage)",li2026jevasajudge,li2026jevasajudge,12x (GPT-6 Astra vs Jev),syn.speedRatioLiJudgeSpeed,yes,mixed,supported if ratio >= 40 (vendor lower bound); mixed if 1 < ratio < 40; contradicted if <= 1,high,low,independent_evaluation,L061
speed,Faster than frontier LLMs,40x-200x faster (launch blog); 193.6x faster (homepage),"vendor_facts.json: launch_speed_claim (ts_launch_blog, ts_homepage)",deng2026jev,deng2026jev,4.1x (GPT-5.6 Sol vs Jev),syn.speedRatioDengSpeed,yes,mixed,supported if ratio >= 40 (vendor lower bound); mixed if 1 < ratio < 40; contradicted if <= 1,some_concerns,some_concerns,independent_evaluation,L403
speed,Faster than frontier LLMs,40x-200x faster (launch blog); 193.6x faster (homepage),"vendor_facts.json: launch_speed_claim (ts_launch_blog, ts_homepage)",zhang2026same,zhang2026same,3.0x (Gemini 3.1 Pro Preview vs Jev),syn.speedRatioZhangSpeed,yes,mixed,supported if ratio >= 40 (vendor lower bound); mixed if 1 < ratio < 40; contradicted if <= 1,high,low,independent_evaluation,L101;L099
speed,Faster than frontier LLMs,40x-200x faster (launch blog); 193.6x faster (homepage),"vendor_facts.json: launch_speed_claim (ts_launch_blog, ts_homepage)",li2026fast,li2026fast+li2026replacing,1.3x (DeepSeek (deepseek-v4.1-flash) vs Jev),syn.speedRatioLiFastSpeed,yes,mixed,supported if ratio >= 40 (vendor lower bound); mixed if 1 < ratio < 40; contradicted if <= 1,some_concerns,some_concerns,method_paper_with_evaluation,L212
speed,Faster than frontier LLMs,40x-200x faster (launch blog); 193.6x faster (homepage),"vendor_facts.json: launch_speed_claim (ts_launch_blog, ts_homepage)",li2026replacing,li2026fast+li2026replacing,"1.4x (DeepSeek (deepseek-v4.1-flash, concise structured output) vs Jev)",syn.speedRatioLiReplacingSpeed,yes,mixed,supported if ratio >= 40 (vendor lower bound); mixed if 1 < ratio < 40; contradicted if <= 1,some_concerns,low,method_paper_with_evaluation,L200
speed,Faster than frontier LLMs,40x-200x faster (launch blog); 193.6x faster (homepage),"vendor_facts.json: launch_speed_claim (ts_launch_blog, ts_homepage)",grey_vercel_p95,grey_vercel_p95,"up to 18 (range ~5-18)x p95 (X posts, no protocol)",L511,no,not counted,practitioner report without protocol (contradicted_claims 4 and 12),high,high,practitioner_report,L511
cost,Cheaper than frontier LLMs,444.6x cheaper (homepage),vendor_facts.json: launch_cost_claim (ts_homepage),ibrahim2026evaluating,ibrahim2026evaluating,44x (per-task best LLM vs Jev),syn.costRatioIbrCost,yes,mixed,supported if ratio >= 444.6; mixed if 1 < ratio < 444.6; contradicted if <= 1,high,low,independent_evaluation,L005
cost,Cheaper than frontier LLMs,444.6x cheaper (homepage),vendor_facts.json: launch_cost_claim (ts_homepage),li2026jevasajudge,li2026jevasajudge,280x (GPT-6 Astra vs Jev),syn.costRatioLiJudgeCost,yes,mixed,supported if ratio >= 444.6; mixed if 1 < ratio < 444.6; contradicted if <= 1,high,low,independent_evaluation,L059
cost,Cheaper than frontier LLMs,444.6x cheaper (homepage),vendor_facts.json: launch_cost_claim (ts_homepage),zhang2026same,zhang2026same,37x (Gemini 3.1 Pro Preview vs Jev),syn.costRatioZhangCost,yes,mixed,supported if ratio >= 444.6; mixed if 1 < ratio < 444.6; contradicted if <= 1,high,low,independent_evaluation,L101;L098
cost,Cheaper than frontier LLMs,444.6x cheaper (homepage),vendor_facts.json: launch_cost_claim (ts_homepage),deng2026jev,deng2026jev,51x (GPT-5.6 Sol vs Jev),syn.costRatioDengCost,yes,mixed,supported if ratio >= 444.6; mixed if 1 < ratio < 444.6; contradicted if <= 1,some_concerns,some_concerns,independent_evaluation,L405
cost,Cheaper than frontier LLMs,444.6x cheaper (homepage),vendor_facts.json: launch_cost_claim (ts_homepage),li2026fast,li2026fast+li2026replacing,0.59x (DeepSeek vs Jev),syn.costRatioLiFastCost,yes,contradicted,supported if ratio >= 444.6; mixed if 1 < ratio < 444.6; contradicted if <= 1,some_concerns,some_concerns,method_paper_with_evaluation,L223
cost,Cheaper than frontier LLMs,444.6x cheaper (homepage),vendor_facts.json: launch_cost_claim (ts_homepage),li2026replacing,li2026fast+li2026replacing,3.2x (DeepSeek vs Jev),syn.costRatioLiReplacingCostB,yes,mixed,supported if ratio >= 444.6; mixed if 1 < ratio < 444.6; contradicted if <= 1,some_concerns,low,method_paper_with_evaluation,L211
cost,Cheaper than frontier LLMs,444.6x cheaper (homepage),vendor_facts.json: launch_cost_claim (ts_homepage),li2026kite,li2026kite,260x ( vs Jev),syn.costRatioKiteCost,yes,mixed,supported if ratio >= 444.6; mixed if 1 < ratio < 444.6; contradicted if <= 1,some_concerns,some_concerns,method_paper_with_evaluation,L451
cost,Cheaper than frontier LLMs,444.6x cheaper (homepage),vendor_facts.json: launch_cost_claim (ts_homepage),guo2026just,guo2026just,"63x (API LLM judges (19 benchmarks, list prices) vs Jev)",syn.costRatioGuoCost,yes,mixed,supported if ratio >= 444.6; mixed if 1 < ratio < 444.6; contradicted if <= 1,high,some_concerns,independent_evaluation,L617
