arxiv_id,title,first_author,all_authors,published,primary_category,abstract,found_by,screen_decision,screen_reason
2609.22753v1,Replacing Large Language Models with Jev Decision Models for Low-Latency Edge Service Orchestration,Delong Li,Delong Li; Xu Wang; Haochen Gong; Rui Lang; Guangsheng Yu,2026-09-19T04:26:37Z,,"Natural-language service requests can require a language-model decision before execution starts, consuming part of the request's latency budget. We integrate Jev's decision-oriented application programming interface (API) into edge service orchestration to reduce this overhead while retaining service completion. The integration extracts four bounded intent fields and applies a shared validator, admission policy, and scheduler, accounting for decision waiting throughout the request timeline. We compare Jev with a short, structured-output DeepSeek deployment using live API measurements followed by modeled execution, and then a real two-node optical character recognition (OCR) service with self-hosted Qwen and rule-based references. Across three consecutive measurement blocks, Jev reduces median client decision latency by 15.9-26.5%. In eight paired OCR conditions, Jev matches DeepSeek's correct, on-time completion count in seven and exceeds it in one. Without caching, median end-to-end latency on requests completed correctly by both systems is 11.1-25.3% lower; API fees per correct completion are 69.0-70.6% lower. Repeated-request caching largely removes the latency difference. The results demonstrate that decision-model substitution can lower both response latency and API fees in the tested service path, and identify fresh interpretation as the main opportunity for latency savings.","all:Jev; all:""decision model"" AND all:Jev; FORCE_INCLUDE",include,Mentions decision models and reports measurements
2609.23136v1,Fast Intent-Driven Service Orchestration with Jev for 6G Edge Networks,Delong Li,Delong Li; Xu Wang; Haochen Gong; Rui Lang; Guangsheng Yu,2026-09-19T17:06:36Z,,"Intent-driven services envisioned for sixth-generation (6G) edge networks must translate changing requirements into executable contracts while wireless requests continue to arrive. Interpretation consumes part of the same deadline budget as transmission, queueing, and execution. We evaluate Jev as a decision model for this stage, asking whether faster contract activation improves service timeliness while preserving interpretation quality. Contracts specify permitted execution locations, deadlines, and priorities; a numerical scheduler uses them to allocate edge work. The evaluation combines live Jev, DeepSeek, Gemini, and self-hosted Qwen responses with packet-level New Radio simulation, mobility events, shared edge queues, and a real image-reading service. Cached interpretation with numerical scheduling substantially improves completion over direct model-selected placement. With correct interpretation on all evaluated contracts, Jev reduces median decision latency by 22.4% against DeepSeek and 61.9% against Gemini; completion in the modeled update scenarios rises by 3.50 and 8.35 percentage points. A separate comparison with direct-attribute Qwen retains a 53.0% latency reduction and a 4.78-point completion gain. Exchanging recorded model and scheduling waits reproduces the comparator completion summaries for all 12 trajectories in each of two modeled comparisons. In the real image service, Jev retains faster decisions and completes 459 requests correctly and on time, compared with 463 for DeepSeek and 435 for Qwen out of 1,080 each. These findings connect fast intent decisions to timely edge service execution and support using Jev at contract activation, with numerical scheduling adapting placements to current network and computing state.","all:Jev; all:""decision model"" AND all:Jev; FORCE_INCLUDE",include,Mentions decision models and reports measurements
2609.23886v1,"this-that-model-1.0: A typed decision model that decides in 30 ms, for a millionth of a cent",Zehua Cheng,Zehua Cheng; Wei Dai; Jiahao Sun,2026-09-20T21:43:03Z,,"Software delegates more of its branches to models every year: which queue a ticket enters, whether a command is safe to run, whether a claim clears without a person. What the program needs back is not prose. It is one of n declared options and a number it can threshold. Today that costs a round trip to a frontier model -- hundreds of milliseconds, a per-token bill, and a parser -- for a question that is usually a conjunction of three clauses. this-that-model-1.0 is a 2B-parameter typed decision model. Its answer is read directly from the hidden state at a designated position and restricted to the option set the caller declared, so no text is generated, nothing can be malformed, and every question in a request is answered in the same forward pass. It decides in 30.9 ms on one laptop GPU and generates zero output tokens doing it, where a frontier API call costs 8758 ms and the hosted systems that answer these questions well spend between 21 and 212 generated tokens per question thinking first, billed for every one. It sustains 32 decisions per second on one consumer GPU and never lets the state leave the machine. On a third party's recorded cohort of 68 decision questions, on their inputs and their wording, it scores 0.941 with a Brier score of 0.042, against 0.765 and 0.133 for the hosted service Jev on the same items. One pass of our 42-family internal suite takes 32 seconds and 0.000217 USD of electricity; the most accurate hosted model we measured needs 155.2 minutes and 10.636 USD. We also report where it loses. On multi-step arithmetic, which a single forward pass cannot carry intermediate results through, it scores 0.560 against their 0.98 to 1.00, and a targeted second training round improved the five task families it was written for and transferred to none of the other 13. The model is open-sourced in https://huggingface.co/flock-io/this-that-model-1.0","all:Jev; all:""decision model"" AND all:typed; all:""typed decision""; all:""decision model"" AND all:Jev; FORCE_INCLUDE",include,Mentions decision models and reports measurements
2609.23959v1,Open-Jev Judgments on CallScreenBench: Calibrated One-Pass Scam Screening with a Small Language Model,Simiao Ren,Simiao Ren; Kidus Zewde; Xingyu Shen; Yuchen Zhou; Dennis Ng; Ankit Raj; Tommy Duong; Yuxin Zhang; Neo Tiangratanakul,2026-09-21T00:09:24Z,,"Screening a phone call for fraud needs a trustworthy probability after every caller turn, in milliseconds. Jev-style typed decisions promise exactly that: declared options go in, one calibrated probability per option comes out of a single forward pass, with no generated text. We test an open implementation of this readout, JevLite, on scam-call screening: Qwen3-4B is LoRA-tuned so that the temperature-scaled softmax over two answer-label logits is P(scam). On 41 held-out CallScreenBench scenarios (577 per-turn decisions) a three-seed ensemble reaches AUROC .974 with calibration error .052, non-inferior to an LLM judge (MiniMax-M3) at a pre-registered .02 margin, with no false alarms on legitimate calls, decisions 1.14 turns earlier under the same hang-up rule, and 64.5 ms per decision on one consumer GPU, 4.9x lower than the same backbone fine-tuned to generate its answer. The gain is in the readout and calibration, not accuracy: a fine-tuned ModernBERT encoder is not significantly worse, the recipe was selected with test-set exposure, and all callers are synthetic. We claim no architectural novelty; the contribution is the application and an evaluation reporting calibration, false alarms and decision timing alongside AUROC.","all:Jev; all:""typed decision""; FORCE_INCLUDE",include,Mentions decision models and reports measurements
2609.23986v1,Jev-Mem: System-One-Controlled Agentic Memory for Efficient AI Agents,Dongming Jiang,Dongming Jiang; Yi Li; Bingzhe Li,2026-09-21T01:43:12Z,,"Agentic memory is becoming essential for long-horizon AI agents, yet many existing systems rely on autoregressive LLMs to control how memories are organized, retrieved, and used, placing expensive generation on the critical path of memory operations. We introduce \textbf{\method}, a new agentic memory architecture inspired by System-One/System-Two cognition. System One captures fast, lightweight decision-making, whereas System Two performs slower, deliberative reasoning. Jev-Mem brings this division of labor to agentic memory through a dedicated System-One control plane, a structured multi-relational memory plane, and a System-Two reasoning plane. The System-One controller governs memory typing and relational organization during construction, and dynamically performs query routing, retrieval-budget allocation, graph traversal, candidate scoring, and adaptive stopping during retrieval. System Two is invoked only for complex reasoning and answer synthesis. This design improves both memory effectiveness and system efficiency: on LoCoMo Jev-Mem achieves an overall LLM-as-a-Judge score of 0.777, an 11.0\% relative improvement over the strongest baseline, while reducing memory construction time to 158\,s, a 6.6$\times$ speedup over the fastest competing memory system, and lowering average query latency to 0.93\,s, a 36.7\% reduction.",all:Jev; FORCE_INCLUDE,include,Mentions decision models and reports measurements
2609.24052v1,Calibrated Decisions at Scale: Converting Police Crash Narratives into Probabilistic Crash Variables with a System One Model (Jev),Amir Rafe,Amir Rafe; Subasish Das,2026-09-21T03:24:47Z,,"Crash datasets that carry an investigator narrative hold information the coded fields omit. Coding those narratives at scale has been blocked by three obstacles. Frontier large language models are costly at that scale, their generated text cannot be verified, and no rule says how much output a human must check. This paper formulates narrative coding as gated, typed decisions answered by Jev, a System One model that returns probabilities over analyst-defined options and generates no text. A screen covered 499,500 Texas narratives and 195,857 were coded with a 27-question schema. Cost is governed by schema size rather than narrative length. The probabilities are audited against coded fields and against 2,416 blinded human judgments drawn under a stated sampling design. Two frontier large language models are benchmarked on the same records. Against human labels the typed model attains an F1 of 0.908. One frontier model gains 0.059 and the other is indistinguishable from it. Calibration varies by model rather than by paradigm, so each model must be audited. Recalibration on the same labels reduces calibration error by a factor of 3.3. Agreement with coded fields understates fidelity to the narrative by a median of 0.26 in kappa. A resolution-floor bound covers any model that reports probabilities on a discrete grid. A review budget over flagged records gives the records a human must read per variable and per year. Adding the calibrated variables to the coded fields raises the injury and fatal crashes attributed to nine factors by 10,747 per year.","all:Jev; all:""System One model""; all:""System One models""; all:""typed decision""; all:""calibrated decisions""; FORCE_INCLUDE",include,Mentions decision models and reports measurements
2609.24395v1,"JEVQA - Video Quality from Metadata, Bitstream, and Pixel Features with a General-Purpose Decision Model",Werner Robitza,Werner Robitza,2026-09-21T10:45:00Z,,"Instrumental quality models for video quality prediction are usually trained for a fixed set of codecs or other input features, and every new input variable requires retraining. Novel, general-purpose decision models can answer questions without task-specific training, but it is unclear whether they can judge video quality. We evaluate Jev, a commercial ``System One'' model that returns probability distributions over a provided answer scale, as a zero-shot video quality model. We call the resulting method JEVQA. In a first study on 1,936 AV1, H.264, HEVC, and VP9 encodes of 22 sources, scored against VMAF as ground truth, using encoding metadata only, JEVQA reached a Pearson correlation of 0.737, on par with the standardized ITU-T P.1204.1 model (0.733). Giving the model bitstream data raised the accuracy to 0.797, and combined pixel-based and bitstream features raised it to 0.824. A pixel-only variant failed in our tests. In a second study, using H.264, HEVC, and VP9 encodes in the AVT-VQDB-UHD-1 database, the metadata-only model reached a correlation of 0.879 with MOS, close to P.1204.1 (0.898). Bitstream statistics did not help there. Our results show that trained models on the same features remain clearly ahead in both studies, but that zero-shot classifiers are promising.","all:Jev; all:""System One model""; all:""System One models""; all:""decision model"" AND all:Jev; FORCE_INCLUDE",include,Mentions decision models and reports measurements
2609.24574v2,Evaluating Decision Models for Text Annotation in Computational Social Science,Hazem Ibrahim,Hazem Ibrahim; Yasir Zaki,2026-09-21T13:41:54Z,,"Computational social science increasingly relies on large language models for text annotation, and the validity of published findings now rests on the labels generated by such models. Decision models, a new model class built for categorical question answering, answer typed questions with a choice, a probability distribution over the label set, and a confidence score rather than free text, at a small fraction of frontier inference prices. Whether their answers are accurate, and whether that stated confidence can be trusted on social science constructs, are unknown. Here, we mirror the evaluation of Ziems et al. (2024) on 18 computational social science classification tasks (7,977 items), comparing the first commercial decision model and two open-weight counterparts against 19 frontier and open-weight language models under the same zero-shot protocol, and extending the decision-model comparison to eleven open-weight systems released in the week after it. The decision model trails the per-task best LLM on 14 of 15 evaluation tasks, with a median deficit of 11.6 macro-F1 points, at a median 44 times lower measured cost. Its confidence is better calibrated than the verbalized confidence of 16 of the 19 LLMs, yet three frontier models show lower median calibration error (0.157 against 0.066). While items above 0.9 confidence are typically labeled accurately (median accuracy 0.815), on one task, empathy in peer-support dialogues, the model reports high confidence while performing near chance. Nonetheless, our results suggest that decision models are useful as a first step in the annotation pipeline: routing low-confidence items to an LLM matches or exceeds the LLM alone at a quarter to half of its cost.","all:""decision model"" AND all:typed; all:""decision models"" AND all:calibration; FORCE_INCLUDE",include,Mentions decision models and reports measurements
2609.24965v2,Jev for Scientific Decisions: Evaluating Semantic Choices and Their Consequences,Boyuan Deng,Boyuan Deng; Shuyi Fan; Hongyang Zhang; Xinhong Xie,2026-09-21T17:51:50Z,,"Scientific workflows often require choosing among known relations before a deterministic calculation can proceed. Whether observations share a culture, treatment or reference standard can change the scientific meaning of the resulting count or comparison. We evaluate Jev as a semantic decision component using a harness that follows its documented guidance and assigns arithmetic to code. The study compares twelve model configurations on twenty source-grounded Choices across ten scientific cases, each repeated five times. We measure semantic selections, downstream outputs and final claim labels separately. Jev matched five other configurations at complete semantic correctness and achieved the lowest observed median latency among successful responses. Across three comparison models, seven wrong selections on one culture-history question changed downstream counts while preserving the correct final label. These results identify a useful role for Jev in prepared scientific decision tasks and show why evaluating that role requires checking the relations and quantities that a workflow will reuse.",all:Jev; FORCE_INCLUDE,include,Mentions decision models and reports measurements
2609.25845v1,Visual Jev: Accurate and Efficient Decisions from Shared Visual Context,Guanxu Yu,Guanxu Yu; Yuhang Yao,2026-09-22T08:12:29Z,,"Many vision applications ask several independent, forced-choice questions about the same image. Visual Jev encodes the image and public context once, executes isolated question suffixes as a batch, and reads candidate probabilities from the backbone's language-model head. Across four benchmarks, answer-supervised post-training raises equal-weight macro accuracy from 70.6% to 76.1%, with the gain concentrated on the two task families represented in training. At N=32 questions per image, shared batched execution is 8.9x faster in warm amortized time than independent serial execution and remains 3.4x faster than an already-batched baseline that recomputes the prefix, at the cost of higher peak memory. A matched typed-head control offers no consistent accuracy advantage over the language-model-head readout. The supported design is therefore simple: adapt the backbone for quality, retain the existing readout, and share execution for efficiency.",all:Jev; FORCE_INCLUDE,include,Mentions decision models and reports measurements
