row_id,study_key,arxiv_id,source_url,date,authors,affiliation_type,model,version_pin,task_family,dataset,n,reference_label_type,metric,value,interval_low,interval_high,interval_type,value_key,comparator,comparator_value,comparator_tuning_budget,cost_or_latency,hardware_or_provider,calibration_quantity,post_hoc_calibration,cascade_result,test_set_exposure,code_available,excerpt,location,extractor,ledger_version
L001,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,18 CSS classification tasks (Ziems et al. mirror),7977,human_adjudicated,macro_F1_median_deficit_pts,11.6,,,,ibrahim2026evaluating.jevMedianF1DeficitVsBestLLM,"per-task best LLM (oracle, varies by task)",n/a (oracle per task),same prompt,,,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),"Jev reaches a median accuracy of 0.610 and a median macro-F1 of 0.581, a median deficit of 11.6 macro-F1 points to the per-task best LLM, and the deficit is significant after correction on 12 of the 15 tasks.",Section 4.1,extract-agent-A-main,1.0
L002,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,18 CSS classification tasks (Ziems et al. mirror),15,human_adjudicated,tasks_trailing_best_llm_count_of_15,14,,,,ibrahim2026evaluating.jevTrailsOn14Of15Tasks,per-task best LLM,n/a,same prompt,,,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),"We find, first, that the commercial decision model trails the per-task best LLM on 14 of the 15 evaluation tasks, with a median deficit of 11.6 macro-F1 points, significant after false-discovery correction on 12 tasks;",Section 4.1,extract-agent-A-main,1.0
L003,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,"18-task grid, 7977 items",7977,human_adjudicated,cost_usd_per_1000_items,0.027,,,,ibrahim2026evaluating.jevCostPer1000Items,19 LLM baselines (range),0.043-7.897,same prompt,"$0.027/1,000 items for Jev; $0.043-$7.897/1,000 items across the 19 LLM baselines",,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),"per 1,000 items the measured prices are $0.027 for Jev, $0.04 to $0.50 for the hosted open-weight baselines, and $0.12 to $7.90 for the closed baselines (Table 3)",Section 4.5; Table 3,extract-agent-A-main,1.0
L004,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,"18-task grid, 7977 items",7977,human_adjudicated,total_cost_usd,0.21,,,,ibrahim2026evaluating.jevTotalGridCostUsd,19 LLM baselines (range),0.34-62.99,same prompt,$0.21 total for Jev vs $0.34 to $62.99 for the 19 LLM baselines,,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),"Labeling all 7,977 items across the 18 tasks cost $0.21 with Jev, against $0.34 to $62.99 for the 19 LLM baselines",Section 4.5,extract-agent-A-main,1.0
L005,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,15 evaluation tasks,,human_adjudicated,cost_ratio_median_best_llm_over_jev,44,,,,ibrahim2026evaluating.jevMedianCostRatioVsBestLLM,per-task best LLM,n/a,same prompt,median 44x Jev's cost,,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),the per-task best LLM costs a median 44 times more than Jev,Section 4.5,extract-agent-A-main,1.0
L006,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,15 evaluation tasks,,human_adjudicated,ECE_equal_width_15bins_median,0.157,,,,ibrahim2026evaluating.jevMedianECE,19 LLM baselines (verbalized confidence),"16 of 19 have higher ECE than Jev; 3 (Opus 5, Fable 5.1, Sonnet 5) have lower",same prompt,,,ECE-equal-width,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),"Its confidence is better calibrated than the verbalized confidence of 16 of the 19 LLMs, yet three frontier models show lower median calibration error (0.157 against 0.066).",Abstract; Table 2,extract-agent-A-main,1.0
L007,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Opus 5,not reported,social-science annotation,15 evaluation tasks,,human_adjudicated,ECE_equal_width_15bins_median,0.066,,,,ibrahim2026evaluating.opus5MedianECE,Jev,0.157,same prompt,,,ECE-equal-width,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),Opus 5 | 0.066 | 0.201 | 0.783 | 0.862 | 0.259,"Table 2 (Appendix reproduced values; row: Opus 5, column Med. ECE)",extract-agent-A-main,1.0
L008,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,empathy (peer-support dialogues),500,human_adjudicated,accuracy_at_conf_ge_0.9,0.383,,,,ibrahim2026evaluating.jevEmpathyAccAtConf90,full-task base rate,0.371,same prompt,,,ECE-equal-width,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),"The clearest failure is the empathy task, where 78 percent of items receive confidence of at least 0.9 and their accuracy is 0.383 against a full-task base rate of 0.371.",Section 4.4,extract-agent-A-main,1.0
L009,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,empathy (peer-support dialogues),,human_adjudicated,ECE_equal_width_15bins,0.538,,,,ibrahim2026evaluating.jevEmpathyECE,,,same prompt,,,ECE-equal-width,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),"on the empathy task confidence carries no information (calibration error 0.538, accuracy in the confident subset 0.383 against a 0.371 base rate)",Abstract,extract-agent-A-main,1.0
L010,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,15 evaluation tasks (median task),,human_adjudicated,accuracy_at_conf_ge_0.9_median_task,0.815,0.691,0.897,95% CI,ibrahim2026evaluating.jevMedianTaskAccAtConf90,,,same prompt,,,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),"At the 0.9 threshold, the median task covers 0.376 of items (95 percent CI [0.202, 0.526]) at an accuracy of 0.815 (CI [0.691, 0.897]).",Section 4.4,extract-agent-A-main,1.0
