study_key,arxiv_id_or_url,domain1_rating,domain1_reason,domain2_rating,domain2_reason,domain3_rating,domain3_reason,domain4_rating,domain4_reason,domain5_rating,domain5_reason,overall,evidence_role,notes
cheng2026thisthatmodel,2609.23886,low,"All three evaluations score against environment- or simulator-computed truth, not annotation (note Reference labels; fulltext 4.1, 4.3).",unclear,"Mixed: the headline Jev comparison rests on a 68-question third-party cohort whose 18-point gap rests on 12 questions (high), and the 2,250-item suite has n but no intervals anywhere in the paper (note n; Conclusion).",high,No Jev version string anywhere; Jev replies were recorded by NanoJev or run by an unnamed third party; own model named only as 1.0 (note Decision models).,high,this-that-model-1.0 trained on all 15 families of the benchmark it is scored on while every comparator is zero-shot; the authors call it a weak scientific comparison (note Test-set exposure; fulltext 4.3).,low,"New simulator-built benchmark with sha256 fingerprinting of eval items against 97,133 training questions (note n, sampling design).",high,method_paper_with_evaluation,Own-model paper (FLock.io). Table 2 vs text discrepancy 0.745 vs 0.750 on stochastic actuator (note Internal consistency). Jev numbers not measured by the authors.
deng2026jev,2609.24965,unclear,"Author-built references; 14 of 20 groups got human review and 6 relied on assistant (LLM) review (Appendix A.2), so the reference is mixed human/LLM.",high,"20 curated Choices x 5 repeats of the same packets, all observed errors on one Choice, and no intervals reported (Limitations; no interval in fulltext).",unclear,"Minor version only (Jev 1.13, Table 1); only documentation access dates (21 Sep 2026) and no run date.",low,"Same evidence packets and contract for every model, one request each, no retries, shuffled and rotated order (2.1, 2.3).",unclear,"Choices and evidence packets are new, but they recast older public literature (e.g. Luria and Delbruck 1943) that could be in training data (note Test-set exposure).",some_concerns,independent_evaluation,Jev ties five configurations at 100/100; ceiling effect limits discrimination. Reasoning settings deferred to released code.
huang2026can,2609.27607,unclear,"Mixed: headline Kendall tau is against two-radiologist consensus and expert error counts (low), but the abstract AUROC 0.977 is against ReXErr injected errors, a synthetic label (high) (4.1).",low,"n stated (100, 624, 19,513), documented stratification, 95% percentile bootstrap over studies (4.1, 4.3).",unclear,"Exact jev-1.13.0, but the only dates are a documentation access note (ref 16, 22 Sep 2026) and price date; no run date in the text.",unclear,"Open NLI shares decomposition and aggregation (3.4), but RadFact and RadMatch run on a substituted local Qwen3.8-27B backend, RadMatch at temperature 1 with retries (4.2).",unclear,"Public pre-2026 datasets, but RadEvalX and ReXErr are PhysioNet credentialed-access releases (Data and Code Availability).",some_concerns,independent_evaluation,"Per outcome: D1 low for the Kendall headline, high for ReXErr detection. Scripts not yet released."
ibrahim2026evaluating,2609.24574,low,"Ziems et al. (2024) released gold labels from human-coded source datasets, no model labeling (3.1).",low,"7,977 items on released class-stratified splits; paired bootstrap 95% CIs with Benjamini-Hochberg correction (3.1, 3.3).",low,"jev-1.13-20260917 and Hugging Face snapshot hashes, and 'all runs are dated 2026-09-20' (Appendix A.5, Table 5).",low,"Same released prompts for all systems, restated as typed questions for decision models (3.2); reasoning adjustments made only for comparators after empty completions.",high,"All 18 tasks are public benchmarks that predate the models; the authors state contamination cannot be excluded (5, Discussion).",high,independent_evaluation,"Group A: no ledger rows available to cross-check. Open-ecosystem appendix is unregistered and its five open models are identified by repository access date (2026-09-20), not snapshot hash; D3 is graded on the registered grid."
jiang2026jevmem,2609.23986,high,Correctness is scored by a gpt-4o-mini LLM-as-a-judge against LoCoMo answers (Table 1 caption).,high,"Item count not stated, single run, no seeds or intervals; the setup says two benchmarks but only LoCoMo is reported (4.1; note n).",high,No Jev version string and no dates anywhere (note Decision models; Appendix B).,unclear,Baselines use 'the same backbone answer model whenever applicable'; whether baseline numbers were rerun or tuned is not stated (4.1).,high,LoCoMo is a public 2024 benchmark with released answers; exposure not discussed (note Test-set exposure).,high,method_paper_with_evaluation,Table vs text mismatches on four category scores (note Internal consistency). No limitations section. Possible selective reporting of a second benchmark.
li2026fast,2609.23136,unclear,"Mixed: latency and completion are objective and OCR uses IIIT5K gold (low), but contract correctness is against researcher-authored canonical contracts (note Reference labels).",unclear,"n stated (63 checks, 1,080 requests), but a bounded 21-description catalog, dependent trajectories, and quantiles only, 'not confidence intervals' (Table II note; VI-D).",unclear,"Minor version only ('TypeSafe Jev 1.13', Appendix A-A), though 'Measurements were collected on September 19, 2026'.",low,Same contract prompt with fallback disabled; the better Qwen interface was used as the comparator once the gap was found (V-E; Appendix A).,low,"Authored contract catalog and new mobility traces; Jev interprets new contracts, not public items (note Test-set exposure).",some_concerns,method_paper_with_evaluation,"Same group and testbed as li2026replacing; not independent instruments. Flag for synthesis, not a RoB domain. No code."
li2026replacing,2609.22753,unclear,"Mixed: latency, fees and IIIT5K OCR gold are low, but Study A descriptions and reference labels were generated by an agent (IV-B).",unclear,"n stated (216 x 3 blocks, 384 arrivals), but synthetic requests, one session, one run per backend, and ranges 'not confidence intervals' (V; VI-C).",low,"Responses identify jev-1.13-20260917 and 'The studies were executed on September 18, 2026' (Appendix A-A).",low,"Jev and DeepSeek get the same intent contract, admission limits, execution policy and caching (IV-A).",low,Synthetic requests newly generated for the study (note Test-set exposure).,some_concerns,method_paper_with_evaluation,Same group and testbed as li2026fast. Semantic-accuracy rows use agent labels (high for that outcome). No code.
li2026jevasajudge,2609.26550,unclear,"Benchmark-supplied labels of mixed provenance: JudgeBench answer keys (low), HaluEval and RM-Bench generated responses (synthetic, high); the blinded audit used one human, an LLM pass and an author adjudicator (Appendix I).",low,"n stated per benchmark, frozen pilot and disjoint 670-item extension, paired intervals on headline cascade (3; Table 3).",unclear,"Exact jev-1.13.0 and comparator identifiers (Table 5), but only price and documentation access dates (21 Sep 2026); collection windows undated.",low,"Same instructions, state and output contract for all judges; cascade thresholds frozen on the selection set (4; 7). Not compute-matched (Limitations).",high,"RewardBench, JudgeBench, HaluEval and RM-Bench are public pre-2026; authors say training overlap and contamination are unknown (Limitations).",high,independent_evaluation,Group A: no ledger rows to cross-check. Multi-family expansion is exploratory by the authors' own statement.
li2026kite,2609.27535,low,"References are observed human experimental responses and effects (TESS/SocSci210, Arechar, Epstein), not annotations (note Reference labels).",unclear,"n stated with CIs, but preregistered policy-value and heterogeneity primaries 'were not shown' (Limitations).",unclear,"Exact jev-1.13.0, but no run date (price page archived 21 Sep 2026); flagship Astra used through a Codex CLI subscription (9).",unclear,The p3 contract was chosen on development studies for Jev's calibration and reused for Astra; pairing does not beat an equal-budget unpaired design (3.1; Limitations).,unclear,Public 2021-2023 human datasets; the A3c recall test was inconclusive and familiar designs may be recognized (Limitations).,some_concerns,method_paper_with_evaluation,Single author. Jev response cache not released.
ma2026jevstar,2609.27331,low,"Win, loss and elimination read from the StarCraft II engine and checked against replays (4.1).",unclear,"Mixed: the full-game head-to-head is one JEV-only game against four combined games at unmatched difficulties (high), while the 105 micro episodes per method and pooled latency have n but no intervals (Discussion and limitations; Table 5).",unclear,"Minor version only ('JEV 1.13', 4.1); only price-rate and access dates (22 Sep 2026).",high,"The combined system also got improved candidate descriptions and execution handling, and opponents were not matched, so the comparison is confounded (Abstract; 4.1).",low,"Live games against the built-in AI, no static test set (note Test-set exposure).",some_concerns,method_paper_with_evaluation,Planning contribution not isolated by the authors' own account.
