source,id,url,created_at,last_modified,downloads,likes_or_stars,license,base_model,description_or_card_snippet,screen_decision,screen_reason
hf_model,iapp/OpenThai-SystemOne,https://huggingface.co/iapp/OpenThai-SystemOne,2026-09-20T14:15:03.000Z,2026-09-21T17:38:18.000Z,4565,20,,,"---
license: apache-2.0
language:
  - th
  - en
base_model: Qwen/Qwen3.5-0.8B-Base
pipeline_tag: zero-shot-classification
tags:
  - thai
  - zero-shot-classification
  - system-one
  - decision-model
  - computer-use
  - openthaigpt
  - iapp
---

# OpenThai-SystemOne

![OpenThai-SystemOne: an open T",uncertain,
hf_model,pngwn/system-one-qwen3.5-4b-scorer,https://huggingface.co/pngwn/system-one-qwen3.5-4b-scorer,2026-09-16T13:58:46.000Z,2026-09-16T18:43:18.000Z,892,17,,,"---
license: cc-by-nc-4.0
base_model: Qwen/Qwen3.5-4B-Base
library_name: peft
tags:
- sequence-classification
- calibration
- decision-making
- lora
- system-one
---

# System One scorer — Qwen/Qwen3.5-4B-Base + scalar scoring head

A single-pass ""System One"" decision model in the shape of TypeSafe'",uncertain,
hf_model,pngwn/system-one-qwen3.5-4b-scorer-v2b,https://huggingface.co/pngwn/system-one-qwen3.5-4b-scorer-v2b,2026-09-17T08:06:59.000Z,2026-09-17T12:08:23.000Z,213,5,,,"---
license: cc-by-nc-4.0
base_model: Qwen/Qwen3.5-4B-Base
library_name: peft
tags:
- sequence-classification
- calibration
- decision-making
- lora
---

# System One scorer: Qwen/Qwen3.5-4B-Base + scalar scoring head

Scores each option of a typed question (yes/no, choice, score) in a single
forwar",include_model,typed decision implementation
hf_model,OneFineStarstuff/AGI_System_Enhancement_Ideas,https://huggingface.co/OneFineStarstuff/AGI_System_Enhancement_Ideas,2024-11-12T14:53:55.000Z,2024-11-12T16:54:15.000Z,0,0,,,,uncertain,
hf_model,OneFineStarstuff/Unified_AGI_System,https://huggingface.co/OneFineStarstuff/Unified_AGI_System,2024-11-13T04:24:20.000Z,2024-11-13T04:24:50.000Z,0,0,,,,uncertain,
hf_model,onewanto/LFM2-350M-with-system-prompt,https://huggingface.co/onewanto/LFM2-350M-with-system-prompt,2025-08-29T04:25:14.000Z,2025-08-29T04:25:16.000Z,0,0,,,"---
library_name: transformers
tags:
- unsloth
---

# Model Card for Model ID

<!-- Provide a quick summary of what the model is/does. -->



## Model Details

### Model Description

<!-- Provide a longer summary of what this model is. -->

This is the model card of a 🤗 transformers model that has b",uncertain,
hf_model,AF-Enterprises-LLC/one-person-business-system,https://huggingface.co/AF-Enterprises-LLC/one-person-business-system,2026-07-04T02:05:14.000Z,2026-07-04T02:05:14.000Z,0,0,,,,exclude,name collision
hf_model,pngwn/system-one-qwen3.5-4b-scorer-smoke,https://huggingface.co/pngwn/system-one-qwen3.5-4b-scorer-smoke,2026-09-16T14:20:02.000Z,2026-09-16T14:32:24.000Z,42,0,,,"---
license: cc-by-nc-4.0
base_model: Qwen/Qwen3.5-4B-Base
library_name: peft
tags:
- sequence-classification
- calibration
- decision-making
- lora
---

# System One scorer: Qwen/Qwen3.5-4B-Base + scalar scoring head

Scores each option of a typed question (yes/no, choice, score) in a single
forwar",include_model,typed decision implementation
hf_model,DavidHatley/system-one-mini,https://huggingface.co/DavidHatley/system-one-mini,2026-09-16T17:02:50.000Z,2026-09-16T17:30:11.000Z,182,0,,,"---
license: apache-2.0
language:
- en
library_name: transformers
base_model: distilbert/distilbert-base-uncased
datasets:
- DavidHatley/system-one-mini-data
tags:
- multi-task-classification
- synthetic-data
- research
- custom-code
---

# System One Mini

System One Mini is an independent research",uncertain,
hf_model,pngwn/system-one-qwen3.5-4b-scorer-v2-2ep,https://huggingface.co/pngwn/system-one-qwen3.5-4b-scorer-v2-2ep,2026-09-17T02:24:01.000Z,2026-09-17T02:24:01.000Z,0,0,,,,uncertain,
hf_model,Mannedood/local-system-one-student,https://huggingface.co/Mannedood/local-system-one-student,2026-09-18T19:11:45.000Z,2026-09-19T14:36:45.000Z,6,0,,,"---
license: mit
base_model: answerdotai/ModernBERT-base
language: en
library_name: pytorch
pipeline_tag: text-classification
tags:
  - calibration
  - distillation
  - agent-routing
  - system-one
  - modernbert
---

# local-system-one-student

*""We have Jev at home.""*

A thought experiment, not a ",uncertain,
hf_model,dwidlee/systemone-lite-0.5b,https://huggingface.co/dwidlee/systemone-lite-0.5b,2026-09-19T08:28:18.000Z,2026-09-22T15:48:20.000Z,1292,0,,,"---
license: apache-2.0
library_name: transformers
base_model: Qwen/Qwen2.5-0.5B-Instruct
tags:
  - system-one
  - decision
  - qwen2.5
datasets:
  - dwidlee/systemone-lite-phase2
  - dwidlee/systemone-lite-general
---

# systemone-lite-0.5b

Current published weights for
[`systemone-lite`](https://",uncertain,
hf_model,lafalce/system-one-model,https://huggingface.co/lafalce/system-one-model,2026-09-19T16:41:06.000Z,2026-09-19T16:41:30.000Z,0,0,,,"---
language:
  - en
library_name: transformers
tags:
  - modernbert
  - lora
  - text-classification
  - decision-model
base_model: answerdotai/ModernBERT-base
license: apache-2.0
---

# System One (phase2 student)

Local open-weight **decision** model: JSON or text `state` in, typed `choice` / `sc",include_model,typed decision implementation
hf_model,shreyanbr/system-one-zeroshot,https://huggingface.co/shreyanbr/system-one-zeroshot,2026-09-19T20:29:52.000Z,2026-09-19T20:31:23.000Z,22,0,,,"---
license: apache-2.0
library_name: transformers
pipeline_tag: zero-shot-classification
base_model: MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33
tags:
  - text-classification
  - calibration
  - routing
---

# System One (zeroshot)

A 70.8M-parameter DeBERTa-v3-xsmall cross-encoder that ans",uncertain,
hf_model,shreyanbr/system-one-distilled,https://huggingface.co/shreyanbr/system-one-distilled,2026-09-19T20:31:33.000Z,2026-09-19T20:33:29.000Z,38,0,,,"---
license: apache-2.0
library_name: transformers
pipeline_tag: zero-shot-classification
base_model: MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33
tags:
  - text-classification
  - calibration
  - routing
---

# System One (distilled)

A 70.8M-parameter DeBERTa-v3-xsmall cross-encoder that an",uncertain,
hf_model,shreyanbr/system-one-gold,https://huggingface.co/shreyanbr/system-one-gold,2026-09-19T20:33:34.000Z,2026-09-19T20:35:03.000Z,31,0,,,"---
license: apache-2.0
library_name: transformers
pipeline_tag: zero-shot-classification
base_model: MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33
tags:
  - text-classification
  - calibration
  - routing
---

# System One (gold)

A 70.8M-parameter DeBERTa-v3-xsmall cross-encoder that answers",uncertain,
hf_model,onnx-community/system-one-qwen3.5-4b-scorer-ONNX,https://huggingface.co/onnx-community/system-one-qwen3.5-4b-scorer-ONNX,2026-09-20T06:24:36.000Z,2026-09-20T08:36:57.000Z,68,0,,,"---
license: cc-by-nc-4.0
base_model: Qwen/Qwen3.5-4B-Base
pipeline_tag: text-classification
library_name: transformers.js
tags:
- qwen3_5
- system-one
- onnx
- transformers.js
---

> This is a Transformers.js-ready ONNX conversion of the original Hugging Face model [pngwn/system-one-qwen3.5-4b-scor",uncertain,
hf_model,gopalanj/jevons-lfm25-1.2b-systemone,https://huggingface.co/gopalanj/jevons-lfm25-1.2b-systemone,2026-09-20T15:45:15.000Z,2026-09-20T15:45:24.000Z,0,0,,,"---
base_model: LiquidAI/LFM2.5-1.2B-Instruct
base_model_relation: adapter
library_name: mlx
license: other
license_name: lfm1.0
license_link: https://huggingface.co/LiquidAI/LFM2.5-1.2B-Instruct/blob/main/LICENSE
language:
  - en
pipeline_tag: text-generation
tags:
  - system-one
  - lora
  - mlx
 ",include_model,known decision model family: system-one
hf_model,kaivoss/system-one-270m,https://huggingface.co/kaivoss/system-one-270m,2026-09-21T22:53:13.000Z,2026-09-21T22:53:21.000Z,51,0,,,"---
license: gemma
base_model: unsloth/gemma-3-270m-it
pipeline_tag: text-classification
tags:
  - system-one
  - typed-decisions
  - calibration
  - synthetic-data
---

# system-one-270m

A **System One** model: it takes a piece of state plus a typed question with a
caller-supplied op",uncertain,
hf_model,einsteiner1983/nemotron-3.5-lightning-systemone-lora-r16,https://huggingface.co/einsteiner1983/nemotron-3.5-lightning-systemone-lora-r16,2026-09-22T02:30:38.000Z,2026-09-22T02:40:23.000Z,9,0,,,"---
library_name: peft
tags:
  - lora
  - nemotron
  - classification
  - structured-output
  - experimental
language:
  - en
---

# Nemotron 3.5 Lightning — System One rank-16 LoRA

Experimental classification adapter for Nemotron 3.5 Lightning 30B-A3B.
**Adapter weights only: this repository does ",uncertain,
hf_model,olafura/gemma4-12b-system-one,https://huggingface.co/olafura/gemma4-12b-system-one,2026-09-22T08:59:05.000Z,2026-09-23T19:58:11.000Z,0,0,,,"---
license: apache-2.0
base_model: google/gemma-4-12B-it-qat-w4a16-ct
pipeline_tag: text-generation
tags:
- gemma-4
- adapter
- mixture-of-experts
- routing
- elixir
- nx
- system-one
- laya
language:
- en
- de
- es
- fr
- ja
- is
- pl
- pt
- it
- nl
- ko
- zh
---

# System One for Gemma 4 12B: ans",uncertain,
hf_model,shreyanbr/nev-lite-systemone,https://huggingface.co/shreyanbr/nev-lite-systemone,2026-09-22T13:47:53.000Z,2026-09-22T15:29:48.000Z,0,0,,,"---
license: apache-2.0
language:
  - en
tags:
  - text-classification
  - static-embeddings
  - model2vec
  - no-attention
  - efficient-inference
  - decision-engine
pipeline_tag: text-classification
base_model: sentence-transformers/all-MiniLM-L6-v2
base_model_relation: finetune
datasets:
  - Dee",uncertain,
hf_model,mpuig/system-one-qwen3-0.6b,https://huggingface.co/mpuig/system-one-qwen3-0.6b,2026-09-22T15:46:27.000Z,2026-09-23T06:39:45.000Z,0,0,,,"---
license: mit
base_model: Qwen/Qwen3-0.6B
tags: [decision-model, calibration, system-one, mlx, lora]
---

# system-one-qwen3-0.6b — volume-tier System One adapter

LoRA adapter for **Qwen3-0.6B** (base, Apache-2.0) turning it into a
**System One decision model**: typed questions (choice / score /",include_model,typed decision implementation
hf_model,mpuig/system-one-minicpm5-2b-q8,https://huggingface.co/mpuig/system-one-minicpm5-2b-q8,2026-09-22T15:46:42.000Z,2026-09-23T06:39:46.000Z,62,0,,,"---
license: mit
base_model: openbmb/MiniCPM5-2B-Base
tags: [decision-model, calibration, system-one, mlx, quantized]
---

# system-one-minicpm5-2b-q8 — quality-tier System One model (8-bit)

**MiniCPM5-2B-Base** (Apache-2.0) fine-tuned with the system-one frozen recipe,
LoRA-fused and quantized to ",uncertain,
hf_model,mlboydaisuke/OpenThai-SystemOne-CoreAI,https://huggingface.co/mlboydaisuke/OpenThai-SystemOne-CoreAI,2026-09-22T20:41:25.000Z,2026-09-24T09:03:41.000Z,16,0,,,"---
license: apache-2.0
base_model: iapp/OpenThai-SystemOne
language:
- th
- en
tags:
- coreai
- decision-model
- system-one
- zero-shot-classification
- thai
---

Core AI is Apple's on-device ML runtime in iOS 27 / macOS 27 and the successor to Core ML: PyTorch models are exported with Apple's `cor",uncertain,
hf_model,FluidInference/system-one-gemma-coreml,https://huggingface.co/FluidInference/system-one-gemma-coreml,2026-09-22T21:24:33.000Z,2026-09-22T21:34:11.000Z,0,0,,,"---
tags:
- coreml
- conversion-toolkit
- gated-model
---

# System One Gemma Core ML conversion toolkit (source only)

**Blocked, no model weights or Core ML package here.** This repo hosts pinned conversion source for [`akash-kamat/system-one-gemma`](https://github.com/akash-kamat/system-one-gemma",uncertain,
hf_model,mlboydaisuke/system-one-qwen3.5-4b-scorer-CoreAI,https://huggingface.co/mlboydaisuke/system-one-qwen3.5-4b-scorer-CoreAI,2026-09-23T01:36:36.000Z,2026-09-24T01:04:37.000Z,0,0,,,"---
license: cc-by-nc-4.0
base_model: pngwn/system-one-qwen3.5-4b-scorer
language: en
tags:
- coreai
- decision-model
- system-one
- qwen3.5
- calibration
- sequence-classification
---

License: **cc-by-nc-4.0** (Creative Commons Attribution-NonCommercial 4.0 International).

Core AI is Apple's on-d",uncertain,
hf_model,0xSojalSec/laya-System1,https://huggingface.co/0xSojalSec/laya-System1,2026-09-22T20:32:25.000Z,2026-09-22T20:32:25.000Z,0,1,,,"---
license: apache-2.0
library_name: transformers
pipeline_tag: text-classification
tags: [laya, system-one, calibrated-decisions, rlcd, classification, routing, scoring, guardrails, moderation, reinforcement-learning, commercial-use]
---

# Laya

**Multilingual, non-autoregressive System 1 decisio",include_model,known decision model family: system1
hf_model,allenai/System1_FigLang2022,https://huggingface.co/allenai/System1_FigLang2022,2022-10-18T22:39:26.000Z,2023-01-24T17:18:41.000Z,186,0,,,"---
language: ""en""  # Example: en
license: ""cc-by-4.0""  # Example: apache-2.0 or any license from https://hf.co/docs/hub/repositories-licenses
library_name: ""transformers""  # Optional. Example: keras or any library from https://github.com/huggingface/hub-docs/blob/main/js/src/lib/interfaces/Librarie",uncertain,
hf_model,lobrien001/Experiment1-system1-roberta-base-finetuned-ner,https://huggingface.co/lobrien001/Experiment1-system1-roberta-base-finetuned-ner,2024-04-14T09:55:24.000Z,2024-04-21T16:05:03.000Z,7,0,,,"---
license: mit
base_model: roberta-base
tags:
- generated_from_trainer
metrics:
- precision
- recall
- f1
- accuracy
model-index:
- name: Experiment1-system1-roberta-base-finetuned-ner
  results: []
---

<!-- This model card has been generated automatically according to the information the Trainer",uncertain,
hf_model,lobrien001/Exp1-system1-roberta-base-finetuned-ner,https://huggingface.co/lobrien001/Exp1-system1-roberta-base-finetuned-ner,2024-04-21T18:08:21.000Z,2024-04-21T18:08:21.000Z,0,0,,,,uncertain,
hf_model,HyperMink/System-1-Imagine-v1.0,https://huggingface.co/HyperMink/System-1-Imagine-v1.0,2024-04-29T00:16:24.000Z,2024-04-29T00:59:51.000Z,1,0,,,"---
license: creativeml-openrail-m
---
",uncertain,
hf_model,sohyunan/Mistral-7B-Instruct-v0.2_system1,https://huggingface.co/sohyunan/Mistral-7B-Instruct-v0.2_system1,2025-02-04T18:11:06.000Z,2025-02-04T18:17:24.000Z,5,0,,,"---
library_name: transformers
tags: []
---

# Model Card for Model ID

<!-- Provide a quick summary of what the model is/does. -->



## Model Details

### Model Description

<!-- Provide a longer summary of what this model is. -->

This is the model card of a 🤗 transformers model that has been pus",uncertain,
hf_model,system1-developer/10_sharon_allicotti,https://huggingface.co/system1-developer/10_sharon_allicotti,2025-02-21T17:20:28.000Z,2025-02-21T17:20:28.000Z,0,0,,,,uncertain,
hf_model,system1-developer/10-sharon-allicotti,https://huggingface.co/system1-developer/10-sharon-allicotti,2025-02-21T17:23:30.000Z,2025-02-21T17:23:34.000Z,25,0,,,"---
tags:
- text-to-image
- flux
- lora
- diffusers
- template:sd-lora
- fluxgym


base_model: black-forest-labs/FLUX.1-dev
instance_prompt: style of sharon allicotti
license: other
license_name: flux-1-dev-non-commercial-license
license_link: https://huggingface.co/black-forest-labs/FLUX.1-dev/blob",uncertain,
hf_model,pai123/QWen-1.5B-System1-Ver1,https://huggingface.co/pai123/QWen-1.5B-System1-Ver1,2025-03-16T14:07:58.000Z,2025-03-16T14:08:33.000Z,0,0,,,"---
base_model: unsloth/DeepSeek-R1-Distill-Qwen-1.5B-unsloth-bnb-4bit
tags:
- text-generation-inference
- transformers
- unsloth
- qwen2
- trl
license: apache-2.0
language:
- en
---

# Uploaded  model

- **Developed by:** pai123
- **License:** apache-2.0
- **Finetuned from model :** unsloth/DeepSee",uncertain,
hf_model,pai123/QWen-1.5B-System1-Ver2,https://huggingface.co/pai123/QWen-1.5B-System1-Ver2,2025-03-17T07:53:43.000Z,2025-03-17T07:53:48.000Z,0,0,,,"---
base_model: unsloth/DeepSeek-R1-Distill-Qwen-1.5B-unsloth-bnb-4bit
tags:
- text-generation-inference
- transformers
- unsloth
- qwen2
- trl
license: apache-2.0
language:
- en
---

# Uploaded  model

- **Developed by:** pai123
- **License:** apache-2.0
- **Finetuned from model :** unsloth/DeepSee",uncertain,
hf_model,pai123/QWen-1.5B-System1-Ver3-Lora,https://huggingface.co/pai123/QWen-1.5B-System1-Ver3-Lora,2025-03-18T11:35:55.000Z,2025-03-18T12:42:42.000Z,0,0,,,"---
base_model: unsloth/DeepSeek-R1-Distill-Qwen-1.5B-unsloth-bnb-4bit
tags:
- text-generation-inference
- transformers
- unsloth
- qwen2
- trl
license: apache-2.0
language:
- en
---

# Uploaded  model

- **Developed by:** pai123
- **License:** apache-2.0
- **Finetuned from model :** unsloth/DeepSee",uncertain,
hf_model,pai123/QWen-1.5B-System1-Ver3-16b,https://huggingface.co/pai123/QWen-1.5B-System1-Ver3-16b,2025-03-18T12:42:47.000Z,2025-03-18T12:43:20.000Z,5,0,,,"---
library_name: transformers
tags:
- unsloth
- trl
- sft
---

# Model Card for Model ID

<!-- Provide a quick summary of what the model is/does. -->



## Model Details

### Model Description

<!-- Provide a longer summary of what this model is. -->

This is the model card of a 🤗 transformers mode",uncertain,
hf_model,pai123/QWen-1.5B-System1-Ver3-16bgguf,https://huggingface.co/pai123/QWen-1.5B-System1-Ver3-16bgguf,2025-03-18T12:49:17.000Z,2025-03-18T12:49:43.000Z,34,0,,,"---
base_model: unsloth/DeepSeek-R1-Distill-Qwen-1.5B-unsloth-bnb-4bit
tags:
- text-generation-inference
- transformers
- unsloth
- qwen2
- gguf
license: apache-2.0
language:
- en
---

# Uploaded  model

- **Developed by:** pai123
- **License:** apache-2.0
- **Finetuned from model :** unsloth/DeepSe",uncertain,
hf_model,pai123/QWen-1.5B-System1-Ver4-prompt2,https://huggingface.co/pai123/QWen-1.5B-System1-Ver4-prompt2,2025-03-19T14:33:12.000Z,2025-03-19T14:33:25.000Z,0,0,,,"---
base_model: unsloth/DeepSeek-R1-Distill-Qwen-1.5B-unsloth-bnb-4bit
tags:
- text-generation-inference
- transformers
- unsloth
- qwen2
- trl
license: apache-2.0
language:
- en
---

# Uploaded  model

- **Developed by:** pai123
- **License:** apache-2.0
- **Finetuned from model :** unsloth/DeepSee",uncertain,
hf_model,pai123/QWen-1.5B-System1-Ver4-prompt2-16b,https://huggingface.co/pai123/QWen-1.5B-System1-Ver4-prompt2-16b,2025-03-19T14:33:29.000Z,2025-03-19T14:34:05.000Z,7,0,,,"---
library_name: transformers
tags:
- unsloth
- trl
- sft
---

# Model Card for Model ID

<!-- Provide a quick summary of what the model is/does. -->



## Model Details

### Model Description

<!-- Provide a longer summary of what this model is. -->

This is the model card of a 🤗 transformers mode",uncertain,
hf_model,pai123/QWen-1.5B-System1-Ver4-prompt2-1,https://huggingface.co/pai123/QWen-1.5B-System1-Ver4-prompt2-1,2025-03-20T06:56:01.000Z,2025-03-21T13:20:21.000Z,0,0,,,"---
base_model: unsloth/DeepSeek-R1-Distill-Qwen-1.5B-unsloth-bnb-4bit
tags:
- text-generation-inference
- transformers
- unsloth
- qwen2
- trl
license: apache-2.0
language:
- en
---

# Uploaded  model

- **Developed by:** pai123
- **License:** apache-2.0
- **Finetuned from model :** unsloth/DeepSee",uncertain,
hf_model,pai123/QWen-1.5B-System1-Ver4-prompt2-16b-1,https://huggingface.co/pai123/QWen-1.5B-System1-Ver4-prompt2-16b-1,2025-03-20T06:56:12.000Z,2025-03-24T13:21:54.000Z,7,0,,,"---
library_name: transformers
tags:
- unsloth
- trl
- sft
---

# Model Card for Model ID

<!-- Provide a quick summary of what the model is/does. -->



## Model Details

### Model Description

<!-- Provide a longer summary of what this model is. -->

This is the model card of a 🤗 transformers mode",uncertain,
hf_model,pai123/QWen-1.5B-System1-Ver4-perTrain-1,https://huggingface.co/pai123/QWen-1.5B-System1-Ver4-perTrain-1,2025-03-22T13:42:39.000Z,2025-03-23T08:07:23.000Z,6,0,,,"---
base_model: unsloth/DeepSeek-R1-Distill-Qwen-1.5B-unsloth-bnb-4bit
tags:
- text-generation-inference
- transformers
- unsloth
- qwen2
- trl
- sft
license: apache-2.0
language:
- en
---

# Uploaded  model

- **Developed by:** pai123
- **License:** apache-2.0
- **Finetuned from model :** unsloth/D",uncertain,
hf_model,pai123/QWen-1.5B-System1-Ver5-lora,https://huggingface.co/pai123/QWen-1.5B-System1-Ver5-lora,2025-03-25T06:31:04.000Z,2025-03-26T07:28:27.000Z,0,0,,,"---
base_model: unsloth/DeepSeek-R1-Distill-Qwen-1.5B-unsloth-bnb-4bit
tags:
- text-generation-inference
- transformers
- unsloth
- qwen2
- trl
license: apache-2.0
language:
- en
---

# Uploaded  model

- **Developed by:** pai123
- **License:** apache-2.0
- **Finetuned from model :** unsloth/DeepSee",uncertain,
hf_model,pai123/QWen-1.5B-System1-Ver5-quan,https://huggingface.co/pai123/QWen-1.5B-System1-Ver5-quan,2025-03-25T06:31:15.000Z,2025-03-26T07:29:00.000Z,4,0,,,"---
library_name: transformers
tags:
- unsloth
- trl
- sft
---

# Model Card for Model ID

<!-- Provide a quick summary of what the model is/does. -->



## Model Details

### Model Description

<!-- Provide a longer summary of what this model is. -->

This is the model card of a 🤗 transformers mode",uncertain,
hf_model,Poll027/system1,https://huggingface.co/Poll027/system1,2025-08-22T16:58:44.000Z,2025-08-22T17:00:07.000Z,0,0,,,"---
base_model: unsloth/meta-llama-3.1-8b-unsloth-bnb-4bit
library_name: peft
pipeline_tag: text-generation
tags:
- base_model:adapter:unsloth/meta-llama-3.1-8b-unsloth-bnb-4bit
- lora
- sft
- transformers
- trl
- unsloth
---

# Model Card for Model ID

<!-- Provide a quick summary of what the model",uncertain,
hf_model,Aditi132/System1-System2-LLM-Router,https://huggingface.co/Aditi132/System1-System2-LLM-Router,2026-01-23T22:44:35.000Z,2026-01-23T22:45:56.000Z,0,0,,,"---
license: mit
language:
- en
---",uncertain,
hf_model,yocoms/system1-qlora,https://huggingface.co/yocoms/system1-qlora,2026-09-22T09:55:10.000Z,2026-09-24T08:30:39.000Z,0,0,,,"---
license: apache-2.0
library_name: peft
tags:
  - decision-model
  - system-one
  - calibration
  - lora
  - qlora
  - typesafe
base_model:
  - Qwen/Qwen3-0.6B
  - Qwen/Qwen3-4B-Instruct-2507
metrics:
  - accuracy
  - brier_score
  - expected_calibration_error
---

# System-One QLoRA

Two small, ",uncertain,
hf_model,jaichang/embeddinggemma-tetris-system1,https://huggingface.co/jaichang/embeddinggemma-tetris-system1,2026-09-24T05:34:23.000Z,2026-09-24T05:34:33.000Z,0,0,,,"---
license: apache-2.0
tags:
- system-1
- decision-engine
- embeddinggemma
- gemma
- tetris
- non-autoregressive
- reranker
datasets:
- custom-dellacherie-tetris
pipeline_tag: feature-extraction
---

# EmbeddingGemma-300M Tetris System-1 Decision Engine

This model is a real-time **System 1 decisio",uncertain,
hf_model,altslate/certo-decision-model,https://huggingface.co/altslate/certo-decision-model,2026-09-20T15:28:45.000Z,2026-09-21T16:11:42.000Z,0,1,,,"---
license: mit
library_name: pytorch
pipeline_tag: text-classification
tags:
- decision-making
- calibration
- certo
- modernbert
---

# certo-decision-model (v1)

A small, **calibrated, non-generative decision model**: it reads a *state* and a set of *options
described in text* and returns a cali",uncertain,
hf_model,jaswanthsanjay88/rev-decision-model,https://huggingface.co/jaswanthsanjay88/rev-decision-model,2026-09-22T08:17:44.000Z,2026-09-22T15:20:57.000Z,0,1,,,"---
language:
- en
license: apache-2.0
tags:
- decision-model
- system-one
- non-autoregressive
- rlcd
- modernbert
- calibrated-probabilities
- reinforcement-learning
- agentic-ai
- typesafe
pipeline_tag: zero-shot-classification
---

# rev-decision-model

<p align=""center"">
  <img src=""https://raw",uncertain,
hf_model,mghafiri/qwen3.5-0.8B-decision-model,https://huggingface.co/mghafiri/qwen3.5-0.8B-decision-model,2026-09-22T12:57:13.000Z,2026-09-22T15:14:48.000Z,34,1,,,"---
license: apache-2.0
base_model: Qwen/Qwen3.5-0.8B-Base
language:
- en
library_name: transformers
pipeline_tag: text-classification
tags:
- decision-model
- calibration
- system-one
- classification
- structured-output
---

# qwen3.5-0.8B-decision-model

A **decision model** fine-tuned from
[Qwen",uncertain,
hf_model,kayleelopiccolo/Moral.Decision.Model,https://huggingface.co/kayleelopiccolo/Moral.Decision.Model,2024-04-09T14:37:17.000Z,2024-04-09T14:37:17.000Z,0,0,,,,uncertain,
