record,study,cluster,role,setting,retained_quality,retained_definition,cost_fraction,cost_definition,strong_call_fraction,strong_call_definition,rob_overall,ledger_rows
liJudgeGpt6,li2026jevasajudge,li2026jevasajudge,estimate,Li et al. frozen two-order policy with GPT-6 Astra fallback at tau=0.9 (threshold frozen on 96 pilot pairs); cascade accuracy over fallback-alone accuracy,0.9936,cascade accuracy / strong model alone accuracy (same items),0.5680,cascade fee or cost / strong model alone fee or cost (same work),0.4630,share of decisions sent to the strong model (strong calls / strong-only calls),high,L071;L909;L910
ibrGemini08,ibrahim2026evaluating,ibrahim2026evaluating,estimate,Ibrahim & Zaki cascade to the frontier partner Gemini 3.8 Flash at t=0.8 (one of six thresholds reported),0.9941,cascade accuracy / strong model alone accuracy (same items),0.5610,cascade fee or cost / strong model alone fee or cost (same work),,,high,L014;L905
ibrHaiku05,ibrahim2026evaluating,ibrahim2026evaluating,context,Ibrahim & Zaki cascade to Haiku 4.5 (best closed model under the price cap),1.0273,cascade accuracy / strong model alone accuracy (same items),0.2658,cascade fee or cost / strong model alone fee or cost (same work),,,high,L016;L906
ibrGemma05,ibrahim2026evaluating,ibrahim2026evaluating,context,Ibrahim & Zaki cascade to Gemma 4 31B (cheap partner),1.0192,cascade accuracy / strong model alone accuracy (same items),0.8443,cascade fee or cost / strong model alone fee or cost (same work),,,high,L015;L907
reflexTau,wu2026reflex,wu2026reflex,estimate,REFLEX tau=0.5 on external tau^2-bench against strong-only B0; the operating point that reports fees (paired difference unresolved),0.9444,cascade task success / strong-only success (same tasks),0.2710,cascade fee or cost / strong model alone fee or cost (same work),,,some_concerns,L912;L911
reflexSim,wu2026reflex,wu2026reflex,estimate,REFLEX tau=0.5 on REFLEX-Sim held-out tasks against strong-only B0 (paper's primary point; reports strong calls not fees),1.0795,cascade task success / strong-only success (same tasks),,,0.2730,share of decisions sent to the strong model (strong calls / strong-only calls),some_concerns,L424;L425
b3Tau,wu2026reflex,wu2026reflex,context,B3 cheap generative cascade with self-escalation on tau^2-bench against B0 (counter-evidence),1.0189,cascade task success / strong-only success (same tasks),0.1947,cascade fee or cost / strong model alone fee or cost (same work),,,some_concerns,L913;L432;L911
kiteEpstein,li2026kite,li2026kite,context,KITE fixed sparse-anchor hybrid vs flagship direct audit; error metric so ratio is comparator MAE over hybrid MAE,1.1111,strong model alone MAE / hybrid MAE (above 1 means the hybrid is better),,,0.0170,"share of application states given a flagship anchor call (fixed, not confidence-gated)",some_concerns,L446;L447
ibrGemma08,ibrahim2026evaluating,ibrahim2026evaluating,context,Ibrahim & Zaki Gemma 4 31B partner at t=0.8; the cascade costs more than the partner alone (counter-evidence),,,1.1299,cascade fee or cost / strong model alone fee or cost (same work),,,high,L908
reflexE6Qwen,wu2026reflex,wu2026reflex,context,REFLEX E6 cross-family run (Qwen3.8-Max),,,,,0.2810,share of decisions sent to the strong model (strong calls / strong-only calls),some_concerns,L428
reflexE6Kimi,wu2026reflex,wu2026reflex,context,REFLEX E6 cross-family run (Kimi K3; fails the non-inferiority criterion),,,,,0.2860,share of decisions sent to the strong model (strong calls / strong-only calls),some_concerns,L429
reflexE6Deepseek,wu2026reflex,wu2026reflex,context,REFLEX E6 cross-family run (DeepSeek-V4-Pro),,,,,0.3390,share of decisions sent to the strong model (strong calls / strong-only calls),some_concerns,L430
rafeBudget,rafe2026calibrated,rafe2026calibrated,context,Rafe & Das held-out review budget at 90% precision; a deferral-to-human budget set by a precision target (contradicted_claims 19); the ledger records no cascade experiment (value 0.008: review budget),,,,,,,some_concerns,L092
maStarQuality,ma2026jevstar,ma2026jevstar,context,Ma et al. JEV plus GPT-6 planner vs JEV-only; hierarchical planning not confidence escalation; quality multiple of JEV-only (value 2.284: quality multiple vs Jev-only),,,,,,,some_concerns,L437
maStarCost,ma2026jevstar,ma2026jevstar,context,Ma et al. cost per game of JEV plus GPT-6 over JEV-only (value 34.71: cost multiple vs Jev-only),,,,,,,some_concerns,L442
