arxiv_id,claim,found_value,verdict,excerpt,location
2609.26758,"1,200 workflow decisions",1200 binary workflow decisions over 4 predicates (300 each),confirmed,"1200 binary workflow decisions over 4 predicates (300 each), every item carrying the dataset’s own task-specific rubric text, one item per record, gold-positive rate .5750.",§3 Data
2609.26758,0/1 -> no/yes flips 70.4 answers per hundred,"renaming from 0/1 to no/yes changes 70.4 more answers per hundred (95% CI [67.6, 73.1]); body reports 76.92% vs 6.50%, DiD 70.42 pts (95% CI [67.58, 73.08])",confirmed,"renaming the two options from 0/1 to no/yes changes 70.4 more answers per hundred (95% CI: [67.6, 73.1]) and shifts AUC from .94 to .23",Abstract
2609.26758,AUC .94 -> .23,"AUROC .9376 (aligned) -> .2315 (swapped) for marker head, no/yes",confirmed,"shifts AUC from .94 to .23, revealing a systematic reversal in the decision ranking rather than simple uncertainty",Abstract (precise values .9376/.2315 in Table 1 / §4.1)
2609.26758,hosted Jev AUC .81 -> .58,.8146 -> .5806,confirmed,the swap changes AUC from .8146 to .5806 and produces 24× as many answer flips as its test-retest floor,Abstract (also §4.6: 'its AUROC falling from .8146 to .5806')
2609.26758,random-string names remove the effect,"opaque (random 5-char) names land on the neutral-control regime in all three families (marker 6.86% vs 7.94% neutral; span-mean 11.67% vs 14.83%; hosted 2.02% vs 1.88%), with accuracy retained within .03 of the neutral class",confirmed,"Opaque names land on the neutral class in all three families. They change 6.86%, 11.67% and 2.02% of answers against 7.94%, 14.83% and 1.88% for 0/1 and A/B: at most 3.16 pts apart in any family",§4.7
2609.26758,type-error rate 0%,"0% in every condition, for all three model families, by construction (masked-softmax guarantee, Lemma 1)",confirmed,"All seven findings apply the instrument of §3 to the same items, and the type-error rate is 0% in every one of them.","§4 (preamble); also Abstract and §4.6 ('its type-error rate is 0% as well, by Lemma 1')"
2609.26758,which model is the 'constrained decision head' (open or Jev),"Phrase appears only in the title, not defined for one specific model in the body. The paper's headline numbers (70.4 flips/100, AUROC .94->.23, Table 1-4) are all measured on the marker read-out, i.e. one of the two OPEN-WEIGHT 'Jev-like' models (ModernBERT-large marker head) -- not on the hosted Jev. Jev is evaluated separately as a confirmatory 'third family' in §4.6 with its own smaller numbers (AUC .8146->.5806, 32.50% flip, 24x retest floor).",imprecise,We study Jev and two Jev-like models with open weights by changing how option names are assigned to rubrics.,Abstract; title; §2 'Three read-out families'; §4.6 (marker head flips 2.4x as often as the hosted model on no/yes)
2609.26550,16 generative and reward-model judges (comparator count),"16 comparator judges confirmed: 13 hosted generative judges (GPT-4.1 mini, GPT-4.1, GPT-5.2, GPT-5.4, GPT-5.6 Sol, GPT-6 Astra, GPT-OSS 120B, Qwen3.6 27B, Qwen3.8 27B, Claude Sonnet 5, Gemini 3 Flash, Gemini 3.1 Pro) minus JEV itself, plus 4 local baselines (Qwen3 32B local, Qwen3.5 27B local, PairRM-hf, Skywork-Reward-V2-Qwen3-8B added later) = 16 non-JEV configurations out of 17 total.",confirmed,"Comparing jev-as-a-judge with sixteen generative and reward-model judges, with blinded human adjudication, we find it within three percentage points of a state-of-the-art LLM judge",Abstract; Table 1 lists 17 configurations total (JEV + 16 comparators); Section 4 'Models and output contracts' enumerates thirteen hosted judges + four local baselines
2609.26550,blinded human adjudication (method),"Confirmed: Appendix I describes 183 base-order items where JEV and GPT-6 Astra correctness differ, adjudicated blind to labels, judge outputs, stratum, and original identifiers, with responses relabeled Response 1/2 in hash-swapped order.",confirmed,"Annotators saw an opaque packet id, the task and its broad domain, the question, the evidence (HaluEval), and the candidate responses, with pairwise responses relabeled Response 1/2 in an order swapped by hash; they saw no label, judge output, stratum, or original identifier","Appendix I, 'Items and blinding'"
2609.26550,within 3 points of the best LLM judge at 0.36% of its fee,"Confirmed for ordinary preference (RewardBench: JEV 92.2 vs GPT-6 93.5, -1.3pp) and evidence-grounded factuality (HaluEval: JEV 87.5 vs GPT-6 86.7, +0.8pp), both within 3pp of GPT-6 Astra, the strongest comparator. Fee: JEV $0.044 per 1,000 judgments vs GPT-6 Astra $12.182 per 1,000 = 0.361%, matching the abstract's '0.36%' figure. NOTE: this 'within three points' claim does NOT hold for JudgeBench (difficult correctness, -14.6pp) or RM-Bench style-adversarial pairs (-19.8pp), which the paper explicitly flags as requiring escalation.",confirmed,"we find it within three percentage points of a state-of-the-art LLM judge, our strongest comparator, on ordinary preference and evidence-grounded factuality at 0.36% of the comparator’s fee",Abstract; Table 2 rows 'Ordinary preference' and 'Evidence-grounded factuality'; Section 5 'Measured latency and fees'
