kind,term,id,created
models,laya,convaiinnovations/laya,2026-09-18
models,laya,convaiinnovations/laya-multilingual,2026-09-19
models,laya,convaiinnovations/laya-typed-decisions,2026-09-18
models,laya,aac6fef/laya-mlx,2026-09-19
models,laya,FluidInference/laya-coreml,2026-09-21
models,laya,thaitea/laya-vision,2026-09-19
models,laya,mys/laya-GGUF,2026-09-20
models,laya,aac6fef/laya-multilingual-mlx,2026-09-19
models,laya,cklxx/laya-browser,2026-09-21
models,laya,Mattepiu/laya-onnx,2026-09-18
models,laya,aac6fef/laya-multilingual-coreml-ane,2026-09-20
models,laya,mys/laya-multilingual-GGUF,2026-09-20
models,laya,ShaunSpark/laya-mind2web-browser-agent,2026-09-18
models,laya,aac6fef/laya-typed-decisions-mlx,2026-09-19
models,laya,Weidows/laya-multilingual-GGUF,2026-09-21
models,laya,sevenreasons/laya-onnx-fp16,2026-09-19
models,laya,aac6fef/laya-coreml,2026-09-20
models,laya,aac6fef/laya-multilingual-coreml,2026-09-20
models,laya,mizchi/laya-multilingual-onnx,2026-09-20
models,laya,fr0stbit3/laya-gguf,2026-09-20
models,laya,litert-community/Laya-Multilingual-LiteRT,2026-09-21
models,laya,Luni/laya-grounded,2026-09-19
models,laya,AXERA-TECH/Laya,2026-09-21
models,laya,alfred361/laya-multilingual-typed-decisions,2026-09-21
models,laya,receptron/laya-onnx,2026-09-19
models,laya,mys/laya-typed-decisions-GGUF,2026-09-20
models,laya,Weidows/laya-multilingual-FP8,2026-09-21
models,laya,Wouze/laya-ara-rag,2026-09-21
models,laya,inferenceprince/laya-onnx,2026-09-21
models,laya,thaitea/laya-vision-modernvbert-250m,2026-09-21
models,laya,telepatia-ai/laya-pt-es-typed,2026-09-22
models,laya,chaoliangUNSW/MacJev-322M-4K-Laya,2026-09-22
models,laya,tozp/laya-onnx,2026-09-20
models,laya,fr0stbit3/laya-multilingual-gguf,2026-09-20
models,laya,danielamitay/laya-en-fp32-swev,2026-09-21
models,laya,smdesai/laya-multilingual-coreai,2026-09-21
models,laya,soyelmismo/laya-multilingual-onnx,2026-09-21
models,laya,litert-community/laya-LiteRT,2026-09-21
models,laya,alfred361/laya-typed-decisions-web-q8,2026-09-21
models,laya,aungthuhein-dev/laya-burmese-sib200,2026-09-21
models,laya,Wouze/laya-ara,2026-09-21
models,laya,inferenceprince/laya-onnx-int8,2026-09-21
models,laya,nampham1106/laya-flash,2026-09-22
models,laya,Cahol/laya-banking77-v1,2026-09-22
models,laya,litert-community/Laya-English-LiteRT,2026-09-22
models,laya,akshatbindal/laya-typed-decisions,2026-09-22
models,laya,millat/laya-mlx,2026-09-22
models,laya,harikarthikmanyam/laya-issue-triage,2026-09-22
models,laya,0xSojalSec/laya-System1,2026-09-22
models,laya,mariojcr/laya-onnx,2026-09-22
models,laya,flaukowski/laya-kannaka-evidence-gate,2026-09-22
models,laya,fibonacciai/laya-gguf-persian-multilingual-decision,2026-09-22
models,laya,rupeshs/laya-ov-int8,2026-09-23
models,laya,flaukowski/laya-kannaka-supersession,2026-09-23
models,laya,tindang/laya-code,2026-09-23
models,laya,ZeroDegress/laya-gguf,2026-09-23
models,laya,wigcheng5566/laya-neutron-gguf,2026-09-23
models,laya,killkli/open-jev-laya-multilingual-onnx,2026-09-23
models,laya,sahilchachra/Laya-Multilingual-MXFP8,2026-09-23
models,laya,harshpreet931/cut-laya-onnx,2026-09-24
models,laya,Layan544/3D,2026-09-18
models,laya,aaroncool9/laya,2026-09-19
models,laya,akpsahan/laya,2026-09-19
models,laya,daliborsb/laya,2026-09-19
models,laya,aac6fef/laya-multilingual-coreml-ane-w8,2026-09-20
models,laya,aac6fef/laya-multilingual-coreml-snake,2026-09-20
